BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,"4453 PARK AVENUE, NYC, BRONX",,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1,A1,215000,2023-04-18,"40.8539858,-73.8962069"
BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,"4453 PARK AVENUE, NYC, BRONX",,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1,A1,570000,2023-08-23,"40.8539858,-73.8962069"
BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3035,52,,A1,"461 EAST 178TH STREET, NYC, BRONX",,10457.0,1.0,0.0,1.0,1782.0,1548.0,1899.0,1,A1,0,2023-04-14,"40.84862469999999,-73.89768889999999"
BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,86,,S0,"2364 WASHINGTON AVENUE, NYC, BRONX",,10458.0,1.0,2.0,3.0,1911.0,4080.0,1931.0,1,S0,0,2023-10-24,"40.8566642,-73.8917216"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,"454 EAST 172ND STREET, NYC, BRONX",,10457.0,2.0,0.0,2.0,1658.0,1428.0,1901.0,1,B9,350000,2023-06-26,"40.8402829,-73.9025348"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,"454 EAST 172ND STREET, NYC, BRONX",,10457.0,2.0,0.0,2.0,1658.0,1428.0,1901.0,1,B9,310000,2023-08-14,"40.8402829,-73.9025348"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,"1540 WASHINGTON AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,740000,2022-12-14,"40.8380938,-73.9027186"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,144,,B1,"3813 3RD AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,763000,2023-09-07,"40.837758,-73.901893"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,151,,B1,"519 EAST 171ST STREET, NYC, BRONX",,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,750000,2023-05-18,"40.8374433,-73.9021355"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,125,,B1,"1477 CROTONA PLACE, NYC, BRONX",,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1,B1,820000,2023-11-17,"40.8364906,-73.9016961"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,"3854 3RD AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2883.0,2394.0,1995.0,1,B1,815000,2023-06-07,"40.8383808,-73.90077959999999"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,121,,B1,"1567 FULTON, NYC, BRONX",,10457.0,2.0,0.0,2.0,3225.0,2394.0,1995.0,1,B1,0,2022-12-14,"40.8384746,-73.8996447"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,139,,B1,"1985 WASHINGTON AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2910.0,2340.0,1998.0,1,B1,750000,2023-07-14,"40.8490792,-73.8972296"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036,63,,B1,"457 EAST 179TH STREET, NYC, BRONX",,10457.0,2.0,0.0,2.0,2000.0,2340.0,1998.0,1,B1,0,2023-03-22,"40.8499998,-73.8970135"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,3,,B2,"4386 PARK AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,1144.0,2889.0,1899.0,1,B2,150000,2022-12-14,"40.8520604,-73.89646019999999"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,4,,B2,"4388 PARK AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2275.0,1548.0,1899.0,1,B2,150000,2022-12-14,"40.8520991,-73.8964146"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3038,22,,B1,"460 E 183RD, NYC, BRONX",,10458.0,2.0,0.0,2.0,1485.0,1536.0,1910.0,1,B1,710000,2022-12-22,"40.8553521,-73.8937912"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,106,,B1,"442 EAST 185TH STREET, NYC, BRONX",,10458.0,2.0,0.0,2.0,1500.0,2400.0,1997.0,1,B1,698700,2023-07-28,"40.8567871,-73.893486"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040,15,,B2,"462 E 187TH ST, NYC, BRONX",,10458.0,2.0,0.0,2.0,1642.0,1820.0,1910.0,1,B2,0,2023-06-07,"40.8578276,-73.8920418"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,16,,B3,"2060 BATHGATE AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,1429.0,1872.0,1910.0,1,B3,650000,2023-06-02,"40.85030829999999,-73.89504769999999"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,17,,B2,"2064 BATHGATE AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,3493.0,2508.0,1910.0,1,B2,693500,2023-08-17,"40.8501903,-73.8946275"
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,52,,B3,"2047 BATHGATE AVENUE, NYC, BRONX",,10457.0,2.0,0.0,2.0,2329.0,1431.0,1901.0,1,B3,57000,2023-10-26,"40.8501355,-73.8955873"
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031,145,,C0,"412 EAST 187, NYC, BRONX",,10458.0,3.0,0.0,3.0,1784.0,2302.0,2004.0,1,C0,900000,2023-10-26,"40.8583144,-73.8935449"
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,6,,C0,"4686 PARK AVENUE, NYC, BRONX",,10458.0,3.0,0.0,3.0,1404.0,3900.0,2004.0,1,C0,0,2023-07-03,"40.8586088,-73.89222889999999"
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,9,,C0,"448 CYRUS PLACE, NYC, BRONX",,10458.0,3.0,0.0,3.0,2500.0,1960.0,1910.0,1,C0,620000,2023-09-12,"40.8585606,-73.89201609999999"
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044,31,,C0,"1989 BATHGATE, NYC, BRONX",,10457.0,3.0,0.0,3.0,2085.0,2801.0,2000.0,1,C0,0,2023-06-20,"40.84896,-73.896271"
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,7,,C0,"2118 WASHINGTON AVE, NYC, BRONX",,10457.0,3.0,0.0,3.0,1633.0,3273.0,1901.0,1,C0,0,2022-12-21,"40.8519246,-73.8951525"
BRONX,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3048,3,,V0,"2160 BATHGATE AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,2600.0,0.0,,1,V0,607340,2023-02-16,"40.8520244,-73.8939192"
BRONX,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3048,4,,V0,"2162 BATHGATE AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,2634.0,0.0,,1,V0,607340,2023-02-16,"40.8520847,-73.8939338"
BRONX,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,2899,42,,C7,"1764 WEBSTER AVENUE, NYC, BRONX",,10457.0,7.0,1.0,8.0,2053.0,7477.0,1931.0,2,C7,0,2023-02-10,"40.845407,-73.90199799999999"
BRONX,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,2924,6,,C1,"1874 BATHGATE AVENUE, NYC, BRONX",,10457.0,7.0,0.0,7.0,1628.0,5184.0,1931.0,2,C1,890000,2023-09-21,"40.8459893,-73.89724919999999"
BRONX,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3036,53,,C3,"2037 WASHINGTON AVENUE, NYC, BRONX",,10457.0,4.0,0.0,4.0,7250.0,4187.0,1899.0,2,C3,25000,2023-04-13,"40.85016280000001,-73.8965697"
BRONX,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, NYC, BRONX",,10457.0,,,,,,1935.0,2,D4,98000,2023-11-20,"40.8486364,-73.8978382"
BRONX,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, NYC, BRONX",,10457.0,,,,,,1935.0,2,D4,70000,2023-01-10,"40.8486364,-73.8978382"
BRONX,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, NYC, BRONX",,10457.0,,,,,,1935.0,2,D4,80000,2022-12-13,"40.8486364,-73.8978382"
BRONX,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, NYC, BRONX",,10457.0,,,,,,1935.0,2,D4,55000,2023-09-14,"40.8486364,-73.8978382"
BRONX,BATHGATE,27 FACTORIES,4,2916,2,,F1,"1745 BATHGATE AVENUE, NYC, BRONX",,10457.0,0.0,1.0,1.0,89700.0,57825.0,1981.0,4,F1,10,2023-03-29,"40.8436896,-73.89955719999999"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,2897,136,,G7,"405 CLAREMONT PARKWAY, NYC, BRONX",,10457.0,0.0,0.0,0.0,3647.0,0.0,,4,G7,0,2022-12-22,"40.8398759,-73.904849"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,2905,18,,G2,"3960 PARK AVENUE, NYC, BRONX",,10457.0,0.0,1.0,1.0,5019.0,5000.0,1925.0,4,G2,0,2023-02-16,"40.8417315,-73.9022248"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3037,5,,G7,"4390 PARK AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,2275.0,0.0,,4,G7,475000,2023-10-20,"40.852145,-73.8963109"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3037,50,,G7,"4448 PARK AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,7050.0,0.0,,4,G7,0,2023-06-19,"40.8535592,-73.8953415"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3044,73,,G2,"4309 3RD AVENUE, NYC, BRONX",,10457.0,0.0,1.0,1.0,8288.0,16380.0,1931.0,4,G2,4300000,2023-09-14,"40.8490554,-73.8952429"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3048,14,,G7,"2176 BATHGATE AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,5530.0,0.0,,4,G7,1350000,2023-07-11,"40.852523,-73.893378"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3050,69,,G9,"502 EAST 183RD STREET, NYC, BRONX",,10458.0,0.0,4.0,4.0,4027.0,2400.0,1901.0,4,G9,575000,2023-04-27,"40.8548163,-73.89243189999999"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3053,18,,G7,"2299 BATHGATE AVENUE, NYC, BRONX",,10458.0,0.0,0.0,0.0,1127.0,0.0,,4,G7,950000,2023-10-18,"40.8549539,-73.8917671"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3053,19,,G7,"2297 BATHGATE AVENUE, NYC, BRONX",,10458.0,0.0,0.0,0.0,1133.0,0.0,,4,G7,950000,2023-10-18,"40.8549441,-73.8917771"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3053,20,,G7,"2295 BATHGATE AVENUE, NYC, BRONX",,10458.0,0.0,0.0,0.0,1073.0,0.0,,4,G7,950000,2023-10-18,"40.854823,-73.8918659"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3053,21,,G7,"2293 BATHGATE AVENUE, NYC, BRONX",,10458.0,0.0,0.0,0.0,1127.0,0.0,,4,G7,950000,2023-10-18,"40.8548959,-73.8919842"
BRONX,BATHGATE,29 COMMERCIAL GARAGES,4,3053,85,,G7,"2360 WASHINGTON AVENUE, NYC, BRONX",,10458.0,0.0,0.0,0.0,1920.0,0.0,,4,G7,0,2022-12-19,"40.8565646,-73.89185250000001"
BRONX,BATHGATE,30 WAREHOUSES,4,2899,34,,E1,"407 EAST 174TH STREET, NYC, BRONX",,10457.0,0.0,1.0,1.0,3439.0,3320.0,1955.0,4,E1,985000,2023-06-14,"40.8441676,-73.9022608"
BRONX,BATHGATE,30 WAREHOUSES,4,2899,58,,E7,"4077 PARK AVENUE, NYC, BRONX",,10457.0,0.0,7.0,7.0,9180.0,48000.0,1931.0,4,E7,0,2022-12-01,"40.8448815,-73.9013521"
BRONX,BATHGATE,30 WAREHOUSES,4,3027,35,,E1,"4239 PARK AVENUE, NYC, BRONX",,10457.0,0.0,1.0,1.0,3242.0,2250.0,1910.0,4,E1,0,2023-05-03,"40.8485214,-73.8993241"
BRONX,BATHGATE,30 WAREHOUSES,4,3037,52,,E9,"4452 PARK AVENUE, NYC, BRONX",,10457.0,0.0,1.0,1.0,3525.0,3525.0,1931.0,4,E9,0,2023-06-19,"40.8537512,-73.8952893"
BRONX,BATHGATE,30 WAREHOUSES,4,3038,45,,E1,"449 E 182ND STREET, NYC, BRONX",,10457.0,0.0,1.0,1.0,9942.0,9800.0,1989.0,4,E1,2100000,2023-05-11,"40.854668,-73.89436309999999"
BRONX,BATHGATE,31 COMMERCIAL VACANT LAND,4,3048,54,,V1,"4409 3RD AVENUE, NYC, BRONX",,10457.0,0.0,0.0,0.0,3150.0,0.0,,4,V1,1765956,2023-02-16,"40.851641,-73.8936049"
BRONX,BATHGATE,38 ASYLUMS AND HOMES,4,2897,132,,N9,"415 CLAREMONT PARKWAY, NYC, BRONX",,10457.0,18.0,0.0,18.0,4657.0,19600.0,1904.0,4,N9,0,2022-12-22,"40.8398286,-73.9046821"
BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4706,32,,A2,"3540 LACONIA AVENUE, NYC, BRONX",,10469.0,1.0,0.0,1.0,2500.0,1052.0,1935.0,1,A2,355000,2023-09-27,"40.8750212,-73.8547365"
BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,30,,A5,"1127 EAST 212TH STREET, NYC, BRONX",,10469.0,1.0,0.0,1.0,2388.0,1760.0,1945.0,1,A5,0,2023-09-01,"40.8753069,-73.8537449"
BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,61,,A5,"1112 EAST 213TH ST, NYC, BRONX",,10469.0,1.0,0.0,1.0,1735.0,1512.0,1950.0,1,A5,590000,2023-02-10,"40.8758416,-73.85400349999999"
