BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,"30 BAY 10TH STREET, NYC, BROOKLYN",,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1,A5,0,2023-07-31,"40.610447,-74.009666"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,68,,A5,"58 BAY 10TH STREET, NYC, BROOKLYN",,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1,A5,925000,2023-08-03,"40.609961,-74.01016"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362,23,,A9,"43 BAY 11TH STREET, NYC, BROOKLYN",,11228.0,1.0,0.0,1.0,2280.0,1052.0,1901.0,1,A9,825000,2023-03-31,"40.6095767,-74.0088274"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,42,,S1,"1730 86TH STREET, NYC, BROOKLYN",,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1,S1,1505000,2023-04-21,"40.6078553,-74.0040511"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,43,,S1,"1732 86TH STREET, NYC, BROOKLYN",,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1,S1,1650000,2023-09-08,"40.6078295,-74.0040052"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,26,,A2,"121 BAY 7TH STREET, NYC, BROOKLYN",,11228.0,1.0,0.0,1.0,1933.0,1320.0,1940.0,1,A2,950000,2023-11-01,"40.6097468,-74.01336549999999"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,10,,S1,"1725 BATH AVENUE, NYC, BROOKLYN",,11214.0,1.0,1.0,2.0,1160.0,2320.0,1920.0,1,S1,990000,2023-10-31,"40.6048559,-74.00739279999999"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6408,19,,A2,"111 BAY 23RD STREET, NYC, BROOKLYN",,11214.0,1.0,0.0,1.0,3458.0,1184.0,1899.0,1,A2,0,2023-04-26,"40.6026977,-74.0010345"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,35,,A9,"94 BAY 25TH STREET, NYC, BROOKLYN",,11214.0,1.0,0.0,1.0,1440.0,1281.0,1915.0,1,A9,0,2023-11-13,"40.6023106,-73.9997448"
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,38,,A9,"102 BAY 25TH STREET, NYC, BROOKLYN",,11214.0,1.0,0.0,1.0,1740.0,1382.0,1915.0,1,A9,680000,2023-08-09,"40.6021996,-73.9998409"
