BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,25,,A5,"19-30 81ST STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,780000,2023-07-28,"40.7722063,-73.88958149999999"
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,27,,A5,"19-34 81ST STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,820000,2023-06-15,"40.7721121,-73.8895472"
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,,A5,"19-56 81ST STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,0,2023-05-23,"40.77157280000001,-73.88946670000001"
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,"19-62 81ST STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,725000,2023-10-16,"40.77142070000001,-73.88943239999999"
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,43,,A5,"19-66 81ST STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,820000,2023-05-26,"40.7713214,-73.88941609999999"
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,41,,A5,"2161 80TH STREET, NYC, QUEENS",,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1,A5,0,2023-03-15,"40.7691628,-73.8894131"
QUEENS,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1013,,R2,"19-47 80TH STREET, NYC, QUEENS",1,11370.0,1.0,,1.0,,,,2,R2,575311,2023-11-28,"40.7721455,-73.8901952"
QUEENS,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1021,,R2,"19-13 80TH STREET, NYC, QUEENS",1,11370.0,1.0,,1.0,,,,2,R2,529000,2023-08-29,"40.7727248,-73.8901159"
QUEENS,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1032,,R2,"80-16 19TH AVENUE, NYC, QUEENS",2,11370.0,1.0,,1.0,,,,2,R2,400000,2023-03-27,"40.7729741,-73.88982179999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,"40-10 ROCKAWAY BEACH BLVD, NYC, QUEENS",,11691.0,1.0,0.0,1.0,1594.0,482.0,1920.0,1,A6,0,2023-01-30,"40.5943726,-73.7724461"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,49,,A6,"339 BEACH 43RD STREET, NYC, QUEENS",,11691.0,1.0,0.0,1.0,5137.0,1044.0,1920.0,1,A6,725000,2023-07-28,"40.5950068,-73.774974"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,,A2,"354 BEACH 46TH STREET, NYC, QUEENS",,11691.0,1.0,0.0,1.0,3804.0,2304.0,1925.0,1,A2,630000,2023-08-31,"40.59507869999999,-73.7770883"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,,A2,"311 BEACH 47TH STREET, NYC, QUEENS",,11691.0,1.0,0.0,1.0,2853.0,2080.0,1920.0,1,A2,490000,2023-05-24,"40.593879,-73.7782258"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,17,,A5,"6416 BEACH FRONT RD, NYC, QUEENS",,11692.0,1.0,0.0,1.0,3995.0,3084.0,2014.0,1,A5,1200000,2023-05-10,"40.5883964,-73.7934995"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,185,,A5,"63-07 OCEAN AVENUE NORTH, NYC, QUEENS",,11692.0,1.0,0.0,1.0,3045.0,2515.0,2014.0,1,A5,0,2023-03-30,"40.58944899999999,-73.79253299999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,,A0,"63-07 BEACH CHANNEL DRIVE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,1020.0,1950.0,1,A0,570650,2023-11-15,"40.5928083,-73.7926305"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,57,,A5,"125 BEACH 59TH ST, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2576.0,1242.0,1975.0,1,A5,290000,2023-07-07,"40.5896503,-73.78893660000001"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15952,55,,A9,"411 BEACH 35TH STREET, NYC, QUEENS",,11691.0,1.0,0.0,1.0,4600.0,2200.0,1910.0,1,A9,630000,2023-02-23,"40.5966361,-73.7682205"
