BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,40,,A1,"551 OAKDALE STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,10000.0,3904.0,1980.0,1,A1,0,2023-08-02,"40.5389789,-74.1687227"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,,A1,"21 TALLMAN STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,9968.0,3940.0,1990.0,1,A1,1275000,2023-03-17,"40.5364043,-74.16748079999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,20,,A1,"1468 ARDEN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5000.0,2200.0,1940.0,1,A1,1050000,2023-06-06,"40.5354529,-74.166124"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,42,,A2,"265 HAROLD AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8190.0,2100.0,1980.0,1,A2,385000,2023-02-16,"40.5331961,-74.1657642"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5402,17,,A2,"6 WEAVER STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,10500.0,2278.0,1980.0,1,A2,0,2022-12-27,"40.5332067,-74.16459449999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,,A2,"260 SHIRLEY AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,7500.0,1600.0,1970.0,1,A2,0,2023-07-18,"40.5323109,-74.1649005"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,35,,A2,"95 LENZIE STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,7500.0,1328.0,1930.0,1,A2,743000,2023-07-10,"40.5315483,-74.1639376"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,21,,A1,"1660 ARDEN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5000.0,1680.0,1960.0,1,A1,640000,2023-04-10,"40.5307962,-74.1626934"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,29,,A1,"1740 ARDEN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4250.0,1052.0,1925.0,1,A1,440000,2023-06-20,"40.52891049999999,-74.1612209"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,42,,A1,"27 SANDGAP STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5000.0,1950.0,1910.0,1,A1,840000,2023-05-01,"40.5284547,-74.162003"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,16,,A6,"14 SANDGAP STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2500.0,612.0,1915.0,1,A6,250000,2022-12-21,"40.5283732,-74.16138049999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,109,,A5,"56 MAY PLACE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2475.0,2395.0,1986.0,1,A5,730000,2023-09-11,"40.54023189999999,-74.1718495"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,,A5,"44 MAY PLACE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2475.0,2495.0,1986.0,1,A5,750000,2023-06-07,"40.5400085,-74.1717156"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,34,,A5,"100 SEGUINE PLACE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,1550.0,1521.0,1986.0,1,A5,15000,2023-02-13,"40.540981,-74.173326"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,32,,A5,"18 LUCY LOOP, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2320.0,1500.0,2000.0,1,A5,0,2023-04-12,"40.5419802,-74.17389419999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,33,,A5,"48 EAGAN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2400.0,1368.0,2000.0,1,A5,630000,2022-12-27,"40.5398374,-74.1736076"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,52,,A2,"86 EAGAN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,10000.0,1056.0,1955.0,1,A2,0,2022-12-20,"40.5389012,-74.1730113"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,16,,A5,"94 LORRAIN AVE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,1650.0,1700.0,2004.0,1,A5,300000,2023-07-14,"40.541476,-74.174618"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,30,,A5,"18 LORRAINE AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,16541.0,1344.0,2002.0,1,A5,700000,2023-03-07,"40.5425531,-74.1765456"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,38,,A5,"45 LORRAINE AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,2400.0,1500.0,2004.0,1,A5,670000,2023-03-27,"40.5424358,-74.1755684"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,59,,A1,"920 CARLTON BOULEVARD, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4000.0,1272.0,1930.0,1,A1,720000,2023-01-05,"40.5444847,-74.1780107"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,25,,A0,"158 EDGEGROVE AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4000.0,938.0,1950.0,1,A0,0,2023-04-12,"40.5446901,-74.1794784"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,27,,A1,"154 EDGEGROVE AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8000.0,1915.0,1935.0,1,A1,0,2023-04-12,"40.5447936,-74.1793867"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,61,,A2,"147 DETROIT AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8000.0,840.0,1920.0,1,A2,0,2023-04-12,"40.5447617,-74.17888219999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,33,,A2,"634 DRUMGOOLE ROAD EAST, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8000.0,1056.0,1930.0,1,A2,450000,2023-06-28,"40.54593149999999,-74.1806971"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,35,,A1,"630 DRUMGOOLE ROAD EAST, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8000.0,2460.0,1960.0,1,A1,0,2023-10-11,"40.54594220000001,-74.1806709"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6235,50,,A1,"185 SHELDON AVE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,6000.0,2024.0,1960.0,1,A1,0,2023-08-02,"40.548058,-74.1838815"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,7,,A1,"419 JEFFERSON BOULEVARD, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,10000.0,3056.0,1960.0,1,A1,0,2023-09-12,"40.5475319,-74.1870461"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,31,,A2,"194 VINELAND AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4000.0,1952.0,1970.0,1,A2,680000,2022-12-19,"40.548508,-74.18626640000001"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6239,47,,A2,"630 WOODROW ROAD, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5760.0,2744.0,1980.0,1,A2,850000,2023-06-12,"40.5498503,-74.1875506"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6239,67,,A3,"225 CROWN AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,9600.0,3698.0,1980.0,1,A3,1185000,2023-10-24,"40.549185,-74.18750469999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240,46,,A1,"4901 AMBOY ROAD, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4250.0,1628.0,1924.0,1,A1,820000,2023-10-05,"40.5379762,-74.1744332"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6243,55,,A1,"57 MOSELY AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5500.0,1028.0,1920.0,1,A1,500000,2022-12-16,"40.5393833,-74.1759009"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6243,58,,A1,"49 MOSELY AVENUE, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,5500.0,1592.0,1920.0,1,A1,0,2023-07-25,"40.5393315,-74.1760844"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1B,6245,6,,V0,"4983 AMBOY ROAD, NYC, STATEN ISLAND",,10312.0,0.0,0.0,0.0,8700.0,0.0,1960.0,1,A2,500000,2023-08-03,"40.5367081,-74.1767265"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,15,,A2,"5001 AMBOY ROAD, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,8360.0,988.0,1960.0,1,A2,679000,2023-06-02,"40.5364007,-74.17734899999999"
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,145,,A1,"22 HILLIS STREET, NYC, STATEN ISLAND",,10312.0,1.0,0.0,1.0,4905.0,2739.0,1960.0,1,A1,850000,2022-12-09,"40.5380767,-74.1776948"
