,id,name,availability_rate_365,rate,number_of_reviews,latitude,longitude,host
0,2595,Rental unit in New York,1.0,4.68,49,40.75356,-73.98559,2845
1,5121,Rental unit in Brooklyn,0.33,4.52,50,40.68535,-73.95512,7356
2,9357,Rental unit in New York,0.93,4.52,58,40.76724,-73.98664,30193
3,6848,Rental unit in Brooklyn,0.3,4.58,191,40.70935,-73.95342,15991
4,10452,Rental unit in Brooklyn,0.79,4.65,80,40.68294,-73.95682,35935
5,6872,Condo in New York,0.9,0.00,1,40.80107,-73.94255,16104
6,11943,Home in Brooklyn,0.0,0.00,0,40.63702,-73.96327,45445
7,6990,Rental unit in New York,0.17,4.88,246,40.78778,-73.94759,16800
8,12192,Rental unit in New York,0.32,4.40,314,40.72296,-73.98383,46978
9,7064,Loft in Brooklyn,0.07,4.91,13,40.71248,-73.95881,17297
10,12937,Townhouse in Queens,0.66,4.91,384,40.74757,-73.94571,50124
11,7097,Home in Brooklyn,0.8,4.88,350,40.69194,-73.97389,17571
12,12940,Rental unit in Brooklyn,0.75,4.52,75,40.67946,-73.95417,50148
13,7801,Place to stay in Brooklyn,0.75,4.89,11,40.71880722045898,-73.9561767578125,21207
14,13808,Townhouse in Brooklyn,0.55,4.65,201,40.68064,-73.94039,54275
15,8490,Loft in Brooklyn,0.9,4.77,190,40.68462,-73.93839,25183
16,60666,Rental unit in New York,0.24,4.74,283,40.81006,-73.94559,256161
17,60673,Rental unit in New York,0.0,5.0,3,40.81562,-73.94674,249372
18,14314,Rental unit in Brooklyn,0.57,4.82,177,40.73535,-73.95584,56246
19,60680,Rental unit in New York,0.97,4.53,165,40.72598,-73.97978,292630
20,14434,Rental unit in Brooklyn,0.0,4.56,59,40.68777,-73.94976,7356
21,60794,Rental unit in New York,0.0,5.0,4,40.79918,-73.96248,293394
22,61509,Rental unit in New York,0.0,4.23,89,40.75743,-73.96825,23619
23,15341,Condo in New York,0.49,4.56,37,40.721359,-73.993668,60049
24,62891,Rental unit in New York,0.97,4.30,244,40.72297,-73.98265,306545
25,15385,Rental unit in Brooklyn,0.5,4.87,56,40.71211,-73.96397,60252
26,15396,Rental unit in New York,0.08,5.0,5,40.74493,-73.99521,60278
27,62925,Home in Brooklyn,0.46,4.81,171,40.72967,-73.95352,306739
28,63588,Home in Bronx,0.72,0.00,0,40.81161,-73.85499,295128
29,16580,Condo in New York,0.36,4.79,524,40.72372723229208,-73.97625850509617,64442
30,63610,Rental unit in Bronx,0.98,4.93,57,40.881,-73.83511,310670
31,16821,Rental unit in New York,0.16,4.72,188,40.72281,-73.98501,4396
32,63657,Townhouse in Brooklyn,0.0,4.59,266,40.68253,-73.94295,170510
33,16974,Loft in New York,0.73,4.85,291,40.8019,-73.93762,65837
34,64000,Rental unit in Brooklyn,0.99,4.92,14,40.70724777388111,-73.95460232736923,312722
35,17037,Rental unit in New York,0.46,4.80,53,40.72289,-73.98028,66035
36,64015,Rental unit in New York,0.0,0.00,0,40.72863,-73.9842,146944
37,64314,Rental unit in Brooklyn,1.0,4.82,46,40.67634,-73.95143,314256
38,64365,Home in Brooklyn,0.9,4.79,253,40.67579,-73.95072,314582
39,18152,Rental unit in New York,1.0,4.41,147,40.76967,-73.94831,69942
40,65425,Rental unit in New York,1.0,4.94,17,40.72021,-73.99426,314941
41,18198,Condo in Queens,0.2,5.0,30,40.74884,-73.90536,70091
42,65615,Rental unit in Brooklyn,0.0,4.67,56,40.7106,-73.95178,320761
43,18728,Loft in New York,0.93,4.95,246,40.74261,-74.00353,71876
44,18961,Rental unit in New York,0.0,0.00,1,40.73808,-73.98001,70857
45,65660,Rental unit in Brooklyn,0.19,4.52,165,40.70797,-73.94792,320538
46,66008,Rental unit in Brooklyn,0.92,4.87,68,40.68028,-73.99328,322884
47,19812,Rental unit in Brooklyn,0.76,4.49,59,40.71802,-73.95724,74857
48,66251,Loft in New York,0.21,4.93,167,40.72547,-73.98619,324460
49,20913,Rental unit in Brooklyn,0.0,4.05,165,40.70967,-73.95922,79402
50,66275,Rental unit in New York,1.0,4.86,211,40.72036,-73.99435,314941
51,66974,Rental unit in Brooklyn,0.86,4.98,239,40.68088,-73.99102,329436
52,21644,Rental unit in New York,0.0,5.0,3,40.82782,-73.9473,82685
53,21794,Rental unit in New York,0.91,4.97,36,40.74187,-74.00223,83257
54,67299,Townhouse in Brooklyn,0.63,4.88,78,40.71516,-73.96448,330347
55,68253,Rental unit in Astoria,0.0,0.00,0,40.76336,-73.92099,67730
56,23686,Home in New York,0.49,4.41,58,40.72961,-74.00308,93790
57,68735,Rental unit in New York,0.92,4.97,37,40.78846,-73.97459,342054
58,24285,Rental unit in Brooklyn,0.83,4.83,90,40.67115,-73.98026,97797
59,71010,Rental unit in New York,0.99,4.98,47,40.83403,-73.93951,361855
60,71248,Condo in New York,0.32,4.79,66,40.7159,-73.99156,363834
61,25406,Rental unit in Brooklyn,0.0,4.62,29,40.71649,-73.94865,105538
62,26785,Rental unit in Brooklyn,0.34,4.93,479,40.6686,-73.98723,42273
63,71366,Condo in New York,0.6,4.85,49,40.72997,-74.00196,364955
64,71384,Loft in Brooklyn,0.0,4.98,49,40.72919,-73.95588,365153
65,71812,Rental unit in Bronx,0.67,4.56,16,40.87069,-73.90113,369015
66,27883,Rental unit in New York,0.0,4.85,25,40.72421,-73.98509,120223
67,72190,Rental unit in New York,0.0,4.51,37,40.77743,-73.97691,373085
68,74333,Rental unit in New York,1.0,4.03,38,40.80834,-73.94075,331328
69,28907,Rental unit in New York,0.81,4.95,19,40.77827,-73.94669,124352
70,29013,Rental unit in Brooklyn,0.85,4.71,73,40.68288,-73.95646,35935
71,74438,Rental unit in New York,0.0,4.84,51,40.75523,-73.99792,391553
72,74680,Rental unit in Long Island City,0.95,4.66,266,40.77507,-73.93367,265109
73,29628,Condo in Brooklyn,0.31,4.94,384,40.68292,-73.96381,127608
74,74821,Rental unit in New York,0.24,4.67,47,40.80874,-73.94926,394640
75,29683,Rental unit in New York,0.94,4.76,118,40.72314,-73.99108,125857
76,31130,Condo in New York,0.88,4.88,73,40.7672,-73.98464,117287
77,31555,Rental unit in New York,0.0,4.71,30,40.73405,-74.00281,135619
78,74860,Rental unit in Brooklyn,0.0,4.67,3,40.72364,-73.95013,394752
79,75635,Rental unit in New York,0.86,4.84,414,40.71911,-73.98588,401696
80,31902,Home in Brooklyn,0.0,4.33,4,40.6327,-73.93184,137292
81,31994,Rental unit in Brooklyn,0.96,4.52,557,40.68818,-73.96383,137814
82,75658,Loft in Brooklyn,0.98,4.58,20,40.695588790857855,-73.95461923691613,401921
83,32037,Condo in Brooklyn,1.0,4.84,92,40.68513,-73.96648,116599
84,77765,Boutique hotel in Brooklyn,0.97,4.83,55,40.73777,-73.95366,417504
85,79067,Townhouse in Brooklyn,0.57,4.73,11,40.68337,-73.96253,425506
86,33009,Rental unit in Brooklyn,0.36,4.96,294,40.71512,-73.95899,143027
87,33156,Rental unit in New York,0.34,5.0,19,40.78763,-73.96862,128669
88,80493,Rental unit in New York,0.33,4.41,231,40.722599029541016,-73.9854507446289,434987
89,80684,Boutique hotel in Brooklyn,0.0,5.0,10,40.73756,-73.9535,417504
90,34760,Townhouse in Brooklyn,0.08,5.0,31,40.69101,-73.97378,149929
91,80700,Boutique hotel in Brooklyn,0.0,4.70,10,40.73777,-73.95366,417504
92,80924,Townhouse in Brooklyn,0.17,4.86,36,40.67407,-73.98105,438133
93,81564,Rental unit in Queens,1.0,4.12,112,40.75054,-73.86222,442605
94,36121,Rental unit in Brooklyn,0.99,4.88,9,40.67376,-73.96611,62165
95,81739,Boutique hotel in Brooklyn,0.0,0.00,2,40.73777,-73.95366,417504
96,82638,Rental unit in New York,0.93,4.79,280,40.72408,-73.98154,449787
97,82928,Townhouse in Brooklyn,0.87,4.91,78,40.68433,-73.94469,451545
98,83243,Rental unit in Brooklyn,0.95,4.43,247,40.68769,-73.91788,453519
