id,description
0,ASSAULT 3 & RELATED OFFENSES
1,PETIT LARCENY
2,FELONY ASSAULT
3,DANGEROUS DRUGS
4,MISCELLANEOUS PENAL LAW
5,VEHICLE AND TRAFFIC LAWS
6,CRIMINAL MISCHIEF & RELATED OF
7,ROBBERY
8,GRAND LARCENY
9,DANGEROUS WEAPONS
10,OFFENSES AGAINST PUBLIC ADMINI
11,BURGLARY
12,OTHER OFFENSES RELATED TO THEF
13,SEX CRIMES
14,OFFENSES INVOLVING FRAUD
15,OFF. AGNST PUB ORD SENSBLTY &
16,POSSESSION OF STOLEN PROPERTY
17,FORGERY
18,INTOXICATED & IMPAIRED DRIVING
19,OTHER TRAFFIC INFRACTION
20,GRAND LARCENY OF MOTOR VEHICLE
21,MURDER & NON-NEGL. MANSLAUGHTE
22,CRIMINAL TRESPASS
23,FOR OTHER AUTHORITIES
24,OFFENSES AGAINST THE PERSON
25,OTHER STATE LAWS
26,NYS LAWS-UNCLASSIFIED FELONY
27,FRAUDS
28,RAPE
29,UNAUTHORIZED USE OF A VEHICLE
30,BURGLAR'S TOOLS
31,CANNABIS RELATED OFFENSES
32,OTHER STATE LAWS (NON PENAL LA
33,GAMBLING
34,INTOXICATED/IMPAIRED DRIVING
35,PROSTITUTION & RELATED OFFENSES
36,ADMINISTRATIVE CODE
37,THEFT-FRAUD
38,ALCOHOLIC BEVERAGE CONTROL LAW
39,ARSON
40,THEFT OF SERVICES
41,JOSTLING
42,KIDNAPPING & RELATED OFFENSES
43,OFFENSES AGAINST PUBLIC SAFETY
44,HARRASSMENT 2
45,ENDAN WELFARE INCOMP
46,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
47,FRAUDULENT ACCOSTING
48,DISORDERLY CONDUCT
49,CHILD ABANDONMENT/NON SUPPORT
50,OFFENSES RELATED TO CHILDREN
51,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
52,MOVING INFRACTIONS
53,ANTICIPATORY OFFENSES
54,(null)
55,KIDNAPPING
56,OTHER STATE LAWS (NON PENAL LAW)
57,ESCAPE 3
58,PARKING OFFENSES
59,DISRUPTION OF A RELIGIOUS SERV
60,HOMICIDE-NEGLIGENT-VEHICLE
61,FELONY SEX CRIMES
62,UNLAWFUL POSS. WEAP. ON SCHOOL
63,ADMINISTRATIVE CODES
