id,room_type,n_beds,n_baths,is_bath_shared,bnb_house
0,Studio,1,1,False,2595
1,1 bedroom,1,0,False,5121
2,Studio,1,1,False,9357
3,2 bedrooms,2,1,False,6848
4,1 bedroom,1,,True,10452
5,1 bedroom,1,,True,6872
6,1 bedroom,1,1,False,11943
7,1 bedroom,1,,True,6990
8,1 bedroom,1,,True,12192
9,1 bedroom,1,,True,7064
10,1 bedroom,1,,False,12937
11,1 bedroom,1,,False,7097
12,1 bedroom,1,1,False,12940
13,1 bedroom,1,1,False,7801
14,1 bedroom,1,,False,13808
15,1 bedroom,1,1,False,8490
16,1 bedroom,1,1.5,False,60666
17,1 bedroom,1,1,False,60673
18,1 bedroom,1,1,False,14314
19,1 bedroom,1,1,False,60680
20,1 bedroom,1,,True,14434
21,3 bedrooms,3,1,False,60794
22,1 bedroom,1,1,False,61509
23,1 bedroom,1,1,False,15341
24,1 bedroom,1,,True,62891
25,1 bedroom,1,,True,15385
26,2 bedrooms,2,2,False,15396
27,2 bedrooms,2,2,False,62925
28,2 bedrooms,2,,True,63588
29,1 bedroom,1,,True,16580
30,1 bedroom,1,1,False,63610
31,1 bedroom,1,,True,16821
32,1 bedroom,1,1,False,63657
33,4 bedrooms,4,2,False,16974
34,1 bedroom,1,,True,64000
35,1 bedroom,1,1,False,17037
36,1 bedroom,1,1,False,64015
37,1 bedroom,1,1,False,64314
38,1 bedroom,1,1,False,64365
39,2 bedrooms,2,,True,18152
40,2 bedrooms,2,1,False,65425
41,1 bedroom,1,,True,18198
42,1 bedroom,1,1,False,65615
43,1 bedroom,1,1.5,False,18728
44,1 bedroom,1,1,False,18961
45,1 bedroom,1,1,False,65660
46,2 bedrooms,2,1,False,66008
47,1 bedroom,1,1,False,19812
48,Studio,1,1,False,66251
49,1 bedroom,1,1,False,20913
50,2 bedrooms,2,1,False,66275
51,1 bedroom,1,1,False,66974
52,1 bedroom,1,,True,21644
53,1 bedroom,1,,True,21794
54,1 bedroom,1,1,False,67299
55,1 bedroom,1,0,False,68253
56,3 bedrooms,3,2,False,23686
57,1 bedroom,1,1,False,68735
58,4 bedrooms,4,3,False,24285
59,2 bedrooms,2,1,False,71010
60,1 bedroom,1,1,False,71248
61,1 bedroom,1,1,False,25406
62,1 bedroom,1,1,False,26785
63,1 bedroom,1,1,False,71366
64,1 bedroom,1,1,False,71384
65,1 bedroom,1,1,False,71812
66,Studio,2,1,False,27883
67,1 bedroom,1,1,False,72190
68,1 bedroom,1,1,False,74333
69,1 bedroom,1,1,False,28907
70,1 bedroom,1,,True,29013
71,1 bedroom,1,0,False,74438
