id,price,minimum_nights,rent
0,240,30,0
1,66,30,1
2,175,45,2
3,81,30,3
4,90,30,4
5,65,30,5
6,150,30,6
7,70,30,7
8,70,30,8
9,95,30,9
10,165,30,10
11,205,2,11
12,120,30,12
13,350,30,13
14,99,30,14
15,170,30,15
16,140,30,16
17,125,30,17
18,112,30,18
19,150,30,19
20,70,30,20
21,211,30,21
22,110,200,22
23,170,30,23
24,175,30,24
25,95,30,25
26,400,120,26
27,285,30,27
28,89,30,28
29,166,1,29
30,117,30,30
31,199,30,31
32,135,30,32
33,300,30,33
34,54,60,34
35,220,30,35
36,200,30,36
37,100,30,37
38,65,30,38
39,500,30,39
40,399,30,40
41,65,30,41
42,85,30,42
43,195,30,43
44,95,30,44
45,120,30,45
46,190,30,46
47,105,30,47
48,370,30,48
49,80,30,49
50,442,30,50
51,220,30,51
52,99,30,52
53,85,30,53
54,158,30,54
55,55,30,55
56,700,30,56
57,215,30,57
58,220,30,58
59,382,30,59
60,160,30,60
61,83,30,61
62,90,30,62
63,200,30,63
64,229,30,64
65,90,30,65
66,100,30,66
67,110,30,67
68,90,30,68
69,150,30,69
70,90,30,70
71,299,30,71
72,124,30,72
73,99,3,73
74,149,30,74
75,205,30,75
76,171,30,76
77,120,30,77
78,75,30,78
79,175,30,79
80,80,30,80
81,105,30,81
82,221,30,82
83,139,30,83
84,349,1,84
85,330,48,85
86,195,30,86
87,139,120,87
88,65,30,88
89,343,1,89
90,70,30,90
91,429,1,91
92,160,30,92
93,49,30,93
94,200,90,94
95,429,1,95
96,143,31,96
97,110,30,97
98,77,30,98
99,900,30,99
100,184,30,100
101,349,1,101
102,181,3,102
103,800,30,103
104,91,30,104
105,429,30,105
106,154,30,106
107,165,30,107
108,145,30,108
109,139,30,109
110,171,30,110
111,78,30,111
112,150,30,112
113,135,30,113
114,150,30,114
115,238,30,115
116,750,30,116
117,175,60,117
118,270,30,118
119,599,1,119
120,114,30,120
121,70,30,121
122,96,30,122
123,170,30,123
124,185,45,124
125,175,30,125
126,90,30,126
127,110,30,127
128,95,30,128
129,60,30,129
130,111,30,130
131,65,30,131
132,110,30,132
133,100,30,133
134,78,30,134
135,70,30,135
136,130,30,136
137,500,30,137
138,200,30,138
139,60,30,139
140,98,31,140
141,99,30,141
142,150,30,142
143,120,30,143
144,95,30,144
145,130,30,145
146,85,30,146
147,160,30,147
148,210,30,148
149,130,30,149
150,68,30,150
151,248,30,151
152,350,30,152
153,250,30,153
154,200,30,154
155,95,30,155
156,170,30,156
157,190,30,157
158,65,30,158
159,154,30,159
160,325,30,160
161,85,30,161
162,60,30,162
163,96,30,163
164,293,30,164
165,147,30,165
166,100,30,166
167,399,30,167
168,900,30,168
169,250,30,169
170,100,30,170
171,116,30,171
172,599,30,172
173,53,30,173
174,67,30,174
175,250,30,175
176,175,30,176
177,262,30,177
178,175,30,178
179,325,30,179
180,500,30,180
181,200,30,181
182,160,31,182
183,375,4,183
184,250,30,184
185,120,30,185
186,140,30,186
187,65,30,187
188,65,30,188
189,165,30,189
190,135,30,190
191,175,30,191
192,225,30,192
193,139,30,193
194,402,1,194
195,457,31,195
196,230,30,196
197,246,30,197
198,125,60,198
199,250,31,199
200,155,30,200
201,100,30,201
202,55,30,202
203,350,30,203
204,122,30,204
205,125,30,205
206,145,30,206
207,400,30,207
208,45,30,208
209,199,30,209
210,236,30,210
211,55,30,211
212,402,1,212
213,79,30,213
214,402,1,214
215,89,2,215
216,402,1,216
217,205,30,217
218,230,30,218
219,78,30,219
220,402,1,220
221,402,1,221
222,2500,30,222
223,402,1,223
224,402,1,224
225,402,1,225
226,343,1,226
227,187,31,227
228,429,1,228
229,112,30,229
230,299,1,230
231,349,1,231
232,550,30,232
233,599,1,233
234,110,30,234
235,189,30,235
236,399,30,236
237,85,30,237
238,150,60,238
239,95,30,239
240,228,4,240
241,250,30,241
242,495,30,242
243,165,30,243
244,90,2,244
245,193,30,245
246,282,30,246
247,375,30,247
248,159,30,248
249,195,365,249
250,58,30,250
251,108,30,251
252,95,30,252
253,175,30,253
254,304,30,254
255,130,30,255
256,95,30,256
257,375,30,257
258,75,30,258
259,60,30,259
260,101,30,260
261,120,30,261
262,120,30,262
263,320,30,263
264,90,30,264
265,155,30,265
266,106,30,266
267,157,30,267
268,150,30,268
269,185,180,269
270,190,30,270
271,271,30,271
272,55,30,272
273,200,30,273
274,190,30,274
275,496,30,275
276,498,30,276
277,155,30,277
278,250,30,278
279,120,30,279
280,157,30,280
281,55,30,281
282,72,30,282
283,69,30,283
284,185,30,284
285,150,60,285
286,90,30,286
287,139,30,287
288,59,30,288
289,150,30,289
290,92,31,290
291,70,30,291
292,100,30,292
293,99,30,293
294,212,30,294
295,39,30,295
296,95,30,296
297,76,30,297
298,180,30,298
299,55,30,299
300,110,30,300
301,125,365,301
302,90,30,302
303,66,30,303
304,378,3,304
305,75,30,305
306,139,30,306
307,68,30,307
308,220,30,308
309,95,30,309
310,150,30,310
311,150,30,311
312,180,30,312
313,149,30,313
314,130,30,314
315,295,30,315
316,350,180,316
317,110,30,317
318,700,30,318
319,120,30,319
320,170,30,320
321,60,30,321
322,45,30,322
323,100,30,323
324,60,30,324
325,145,30,325
326,75,30,326
327,1300,4,327
328,123,3,328
329,200,30,329
330,170,30,330
331,195,181,331
332,87,30,332
333,130,30,333
334,300,30,334
335,200,30,335
336,110,30,336
337,175,30,337
338,185,30,338
339,120,30,339
340,200,30,340
341,75,30,341
342,200,30,342
343,189,30,343
344,45,30,344
345,275,30,345
346,75,30,346
347,109,30,347
348,249,30,348
349,188,30,349
350,157,30,350
351,80,30,351
