,stop_name,stop_lat,stop_lon,stop_id
0,1 Av,40.730953,-73.981628,L06
1,103 St,40.7906,-73.947478,624
2,103 St,40.796092,-73.961454,A18
3,103 St,40.799446,-73.968379,119
4,103 St - Corona Plaza,40.749865,-73.8627,706
5,104 St,40.681711,-73.837683,A63
6,104 St,40.695178,-73.84433,J14
7,110 St,40.79502,-73.94425,623
8,111 St,40.684331,-73.832163,A64
9,111 St,40.697418,-73.836345,J13
10,111 St,40.75173,-73.855334,705
11,116 St,40.798629,-73.941617,622
12,116 St,40.802098,-73.949625,226
13,116 St,40.805085,-73.954882,A16
14,116 St - Columbia University,40.807722,-73.96411,117
15,121 St,40.700492,-73.828294,J12
16,125 St,40.804138,-73.937594,621
17,125 St,40.807754,-73.945495,225
18,125 St,40.811109,-73.952343,A15
19,125 St,40.815581,-73.958372,116
20,135 St,40.814229,-73.94077,224
21,135 St,40.817894,-73.947649,A14
22,137 St - City College,40.822008,-73.953676,115
23,138 St - Grand Concourse,40.813224,-73.929849,416
24,14 St,40.737826,-74.000201,132
25,14 St,40.738228,-73.996209,D19
26,14 St,40.740893,-74.00169,A31
27,14 St - Union Sq,40.734673,-73.989951,635
28,14 St - Union Sq,40.735736,-73.990568,R20
29,145 St,40.820421,-73.936245,302
30,145 St,40.824783,-73.944216,A12
31,145 St,40.826551,-73.95036,114
32,149 St - Grand Concourse,40.818375,-73.927351,415
33,149 St - Grand Concourse,40.81841,-73.926718,222
34,15 St - Prospect Park,40.660365,-73.979493,F25
35,155 St,40.830135,-73.938209,D12
36,155 St,40.830518,-73.941514,A11
37,157 St,40.834041,-73.94489,113
38,161 St - Yankee Stadium,40.827905,-73.925651,D11
39,161 St - Yankee Stadium,40.827994,-73.925831,414
40,163 St - Amsterdam Av,40.836013,-73.939892,A10
41,167 St,40.833771,-73.91844,D10
42,167 St,40.835537,-73.9214,413
43,168 St,40.840719,-73.939561,A09
44,168 St - Washington Hts,40.840556,-73.940133,112
45,169 St,40.71047,-73.793604,F02
46,170 St,40.839306,-73.9134,D09
47,170 St,40.840075,-73.917791,412
48,174 St,40.837288,-73.887734,215
49,174-175 Sts,40.8459,-73.910136,D08
50,175 St,40.847391,-73.939704,A07
51,176 St,40.84848,-73.911794,410
52,18 Av,40.607954,-74.001736,B19
53,18 Av,40.620671,-73.990414,N05
54,18 Av,40.629755,-73.976971,F30
55,18 St,40.74104,-73.997871,131
56,181 St,40.849505,-73.933596,111
57,181 St,40.851695,-73.937969,A06
58,182-183 Sts,40.856093,-73.900741,D06
59,183 St,40.858407,-73.903879,408
60,190 St,40.859022,-73.93418,A05
61,191 St,40.855225,-73.929412,110
62,2 Av,40.723402,-73.989938,F14
63,20 Av,40.604556,-73.998168,B20
64,20 Av,40.61741,-73.985026,N06
65,207 St,40.864621,-73.918822,108
66,21 St,40.744065,-73.949724,G24
67,21 St - Queensbridge,40.754203,-73.942836,B04
68,215 St,40.869444,-73.915279,107
69,219 St,40.883895,-73.862633,207
70,225 St,40.888022,-73.860341,206
71,23 St,40.739864,-73.986599,634
72,23 St,40.741303,-73.989344,R19
73,23 St,40.742878,-73.992821,D18
74,23 St,40.744081,-73.995657,130
75,23 St,40.745906,-73.998041,A30
76,231 St,40.878856,-73.904834,104
77,233 St,40.893193,-73.857473,205
78,238 St,40.884667,-73.90087,103
79,25 Av,40.597704,-73.986829,B22
80,25 St,40.660397,-73.998091,R35
81,28 St,40.74307,-73.984264,633
82,28 St,40.745494,-73.988691,R18
83,28 St,40.747215,-73.993365,129
84,3 Av,40.732849,-73.986122,L05
85,3 Av - 138 St,40.810476,-73.926138,619
86,3 Av - 149 St,40.816109,-73.917757,221
87,30 Av,40.766779,-73.921479,R04
88,33 St,40.744587,-73.930997,716
89,33 St,40.746081,-73.982076,632
90,34 St - 11 Av,40.755882,-74.00191,726
91,34 St - Herald Sq,40.749567,-73.98795,R17
92,34 St - Herald Sq,40.749719,-73.987823,D17
93,34 St - Penn Station,40.750373,-73.991057,128
94,34 St - Penn Station,40.752287,-73.993391,A28
95,36 Av,40.756804,-73.929575,R06
96,36 St,40.655144,-74.003549,R36
97,36 St,40.752039,-73.928781,G20
98,39 Av,40.752882,-73.932755,R08
99,4 Av,40.670272,-73.989779,F23
100,40 St,40.743781,-73.924016,715
101,42 St - Bryant Pk,40.754222,-73.984569,D16
102,42 St - Port Authority Bus Terminal,40.757308,-73.989735,A27
103,45 St,40.648939,-74.010006,R39
104,46 St,40.743132,-73.918435,714
105,46 St,40.756312,-73.913333,G18
106,47-50 Sts - Rockefeller Ctr,40.758663,-73.981329,D15
107,49 St,40.759901,-73.984139,R15
108,5 Av,40.753821,-73.981963,724
109,5 Av/53 St,40.760167,-73.975224,F12
110,5 Av/59 St,40.764811,-73.973347,R13
111,50 St,40.63626,-73.994791,B14
112,50 St,40.761728,-73.983849,126
113,50 St,40.762456,-73.985984,A25
114,51 St,40.757107,-73.97192,630
115,52 St,40.744149,-73.912549,713
116,53 St,40.645069,-74.014034,R40
117,55 St,40.631435,-73.995476,B15
118,57 St,40.763972,-73.97745,B10
119,57 St - 7 Av,40.764664,-73.980658,R14
120,59 St,40.641362,-74.017881,R41
121,59 St,40.762526,-73.967967,629
122,59 St - Columbus Circle,40.768247,-73.981929,125
123,59 St - Columbus Circle,40.768296,-73.981736,A24
