"neighborhood","bnb_with_more_park"
"Chinatown-Two Bridges","13"
"East Village","13"
"Lower East Side","10"
"Williamsburg","7"
"Harlem (North)","6"
"Washington Heights (South)","5"
"Brooklyn Heights","5"
"Hamilton Heights-Sugar Hill","5"
"SoHo-Little Italy-Hudson Square","3"
"Greenwich Village","2"
"East Harlem (North)","2"
"Financial District-Battery Park City","2"
"Harlem (South)","2"
"Fort Greene","1"
"Bedford-Stuyvesant (East)","1"
"East New York (North)","1"
"Downtown Brooklyn-DUMBO-Boerum Hill","1"
"Bedford-Stuyvesant (West)","1"
"Cypress Hills","1"
"Manhattanville-West Harlem","1"
"Melrose","1"
"Ocean Hill","1"
"Prospect Heights","1"
"Crown Heights (North)","1"
"Stuyvesant Town-Peter Cooper Village","1"
"University Heights (North)-Fordham","1"
"Washington Heights (North)","1"
"East Williamsburg","1"
"Carroll Gardens-Cobble Hill-Gowanus-Red Hook","1"
