"neighborhood","bnb_with_more_transport"
"Bedford-Stuyvesant (East) (BK)","304"
"Bedford-Stuyvesant (West) (BK)","241"
"Crown Heights (North) (BK)","169"
"Hell's Kitchen (MN)","157"
"Midtown South-Flatiron-Union Square (MN)","132"
"Harlem (South) (MN)","123"
"East Williamsburg (BK)","113"
"Bushwick (East) (BK)","112"
"Harlem (North) (MN)","111"
"East Village (MN)","111"
"Astoria (Central) (QN)","106"
"East Harlem (North) (MN)","84"
"Chelsea-Hudson Yards (MN)","83"
"Financial District-Battery Park City (MN)","79"
"Park Slope (BK)","76"
"Prospect Lefferts Gardens-Wingate (BK)","75"
"Lower East Side (MN)","75"
"SoHo-Little Italy-Hudson Square (MN)","68"
"Hamilton Heights-Sugar Hill (MN)","68"
"Midtown-Times Square (MN)","66"
"Ocean Hill (BK)","63"
"Chinatown-Two Bridges (MN)","63"
"Bushwick (West) (BK)","62"
"Williamsburg (BK)","61"
"Clinton Hill (BK)","58"
"Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK)","57"
"East Harlem (South) (MN)","56"
"Upper West Side (Central) (MN)","55"
"Fort Greene (BK)","54"
"Upper West Side-Manhattan Valley (MN)","52"
"Washington Heights (South) (MN)","50"
"Jackson Heights (QN)","48"
"East Flatbush-Erasmus (BK)","46"
"Upper East Side-Lenox Hill-Roosevelt Island (MN)","43"
"Sunnyside (QN)","41"
"Murray Hill-Kips Bay (MN)","41"
"Astoria (North)-Ditmars-Steinway (QN)","39"
"West Village (MN)","39"
"Gramercy (MN)","39"
"Elmhurst (QN)","37"
"Crown Heights (South) (BK)","37"
"Downtown Brooklyn-DUMBO-Boerum Hill (BK)","36"
"Prospect Heights (BK)","34"
"Astoria (East)-Woodside (North) (QN)","33"
"Manhattanville-West Harlem (MN)","33"
"Ridgewood (QN)","32"
"Woodside (QN)","31"
"Flushing-Willets Point (QN)","31"
"Queensbridge-Ravenswood-Dutch Kills (QN)","30"
"Washington Heights (North) (MN)","30"
"Upper East Side-Carnegie Hill (MN)","28"
"East New York (North) (BK)","28"
"Flatbush (West)-Ditmas Park-Parkville (BK)","28"
"Flatbush (BK)","27"
"Bay Ridge (BK)","25"
"East Elmhurst (QN)","25"
"Upper East Side-Yorkville (MN)","25"
"East Midtown-Turtle Bay (MN)","24"
"Greenwich Village (MN)","22"
"Pelham Gardens (BX)","22"
"East New York-New Lots (BK)","21"
"Forest Hills (QN)","20"
"Concourse-Concourse Village (BX)","20"
"East Flatbush-Remsen Village (BK)","17"
"Upper West Side-Lincoln Square (MN)","17"
"Inwood (MN)","17"
"Brooklyn Heights (BK)","16"
"Sunset Park (Central) (BK)","16"
"Kensington (BK)","15"
"Tribeca-Civic Center (MN)","15"
"Morningside Heights (MN)","15"
"Old Astoria-Hallets Point (QN)","14"
"East Flushing (QN)","14"
"Brownsville (BK)","14"
"Corona (QN)","14"
"Eastchester-Edenwald-Baychester (BX)","14"
"Jamaica Hills-Briarwood (QN)","13"
"Long Island City-Hunters Point (QN)","13"
"St. Albans (QN)","12"
"Mott Haven-Port Morris (BX)","12"
"Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK)","11"
"Richmond Hill (QN)","11"
"Gravesend (East)-Homecrest (BK)","11"
"Woodhaven (QN)","11"
"East Flatbush-Rugby (BK)","10"
"Bensonhurst (BK)","10"
"Pomonok-Electchester-Hillcrest (QN)","10"
