"neighborhood","bnb_with_more_free_time_poi"
"Bedford-Stuyvesant (East) (BK)","304"
"Bedford-Stuyvesant (West) (BK)","240"
"Williamsburg (BK)","176"
"Crown Heights (North) (BK)","169"
"Hell's Kitchen (MN)","157"
"Midtown South-Flatiron-Union Square (MN)","132"
"Bushwick (East) (BK)","131"
"Harlem (South) (MN)","123"
"East Williamsburg (BK)","114"
"East Village (MN)","111"
"Harlem (North) (MN)","111"
"Park Slope (BK)","98"
"Astoria (Central) (QN)","98"
"Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK)","97"
"East Harlem (North) (MN)","84"
"Chelsea-Hudson Yards (MN)","84"
"Financial District-Battery Park City (MN)","79"
"Bushwick (West) (BK)","77"
"Lower East Side (MN)","75"
"Prospect Lefferts Gardens-Wingate (BK)","74"
"Hamilton Heights-Sugar Hill (MN)","68"
"SoHo-Little Italy-Hudson Square (MN)","68"
"Midtown-Times Square (MN)","66"
"Ocean Hill (BK)","63"
"Chinatown-Two Bridges (MN)","63"
"Clinton Hill (BK)","57"
"East Harlem (South) (MN)","56"
"Upper West Side (Central) (MN)","55"
"Greenpoint (BK)","54"
"Fort Greene (BK)","53"
"Upper West Side-Manhattan Valley (MN)","52"
"Washington Heights (South) (MN)","50"
"East Flatbush-Erasmus (BK)","49"
"Upper East Side-Lenox Hill-Roosevelt Island (MN)","43"
"Murray Hill-Kips Bay (MN)","41"
"West Village (MN)","39"
"Sunset Park (West) (BK)","39"
"Gramercy (MN)","39"
"Sunnyside (QN)","39"
"Crown Heights (South) (BK)","37"
"Astoria (North)-Ditmars-Steinway (QN)","37"
"East Elmhurst (QN)","37"
"Downtown Brooklyn-DUMBO-Boerum Hill (BK)","37"
"East New York (North) (BK)","36"
"Ridgewood (QN)","34"
"Flatbush (BK)","34"
"Prospect Heights (BK)","34"
"Windsor Terrace-South Slope (BK)","33"
"Astoria (East)-Woodside (North) (QN)","33"
"Manhattanville-West Harlem (MN)","33"
"Flushing-Willets Point (QN)","33"
"Jackson Heights (QN)","32"
"Flatbush (West)-Ditmas Park-Parkville (BK)","31"
"Elmhurst (QN)","30"
"Queensbridge-Ravenswood-Dutch Kills (QN)","30"
"Cypress Hills (BK)","29"
"Baisley Park (QN)","28"
"Upper East Side-Carnegie Hill (MN)","28"
"Washington Heights (North) (MN)","27"
"Bay Ridge (BK)","26"
"Woodside (QN)","26"
"Canarsie (BK)","26"
"Upper East Side-Yorkville (MN)","25"
"St. Albans (QN)","25"
"East Midtown-Turtle Bay (MN)","24"
"East New York-New Lots (BK)","24"
"Greenwich Village (MN)","22"
"Long Island City-Hunters Point (QN)","21"
"East Flatbush-Farragut (BK)","20"
