"sd_id","vis_id","avg_price_house_sales","sub_perimeter"
92,"92) Flatbush (West)-Ditmas Park-Parkville (BK) ","905000.00","0103000020E61000000100000008000000F8B19B66F07D52C0A51153CBF6504440BA27CA8AE67D52C0D87E775D3C51444081A8FF91E37D52C0D933DE7B4151444026AE3963C67D52C0FAD9DA28255144405CE17093C57D52C0EED402DFEF50444024500BDBD77D52C036D88E91D85044400852ED90EA7D52C0DFD1BA5EE4504440F8B19B66F07D52C0A51153CBF6504440"
47,"47) Flatbush (West)-Ditmas Park-Parkville (BK) ","1075000.00","0103000020E6100000010000000B000000A18B5DB4847E52C053DE81F98550444039EDAB24877E52C0955913A19F504440823BC354887E52C0E854531BAC504440A13D92DF897E52C008C66D4EBC5044400C71B897777E52C0BFC01CA6CD50444078829035697E52C06BE5E22BDB5044408A85A342677E52C0F46C5902DD504440FEDAA1465A7E52C00D1BA80FB25044408F33A527637E52C029201C297C504440EB7F839E837E52C086F6EC997B504440A18B5DB4847E52C053DE81F985504440"
59,"59) Flatbush (West)-Ditmas Park-Parkville (BK) ","1100000.00","0103000020E6100000010000000600000066EB9501F57D52C0A68BF65096514440685A34B8D27D52C0A922A215C3514440D786D7BCBD7D52C0885C354CAB51444035F011DAB87D52C0BF701ED688514440DD02624DE27D52C0FF8D528B6151444066EB9501F57D52C0A68BF65096514440"
85,"85) Flatbush (West)-Ditmas Park-Parkville (BK) ","1182500.00","0103000020E6100000010000000E0000002ABAA3A5677E52C02BABF47E24504440C86B2DD1707E52C066D9F5EB215044409A396CA07A7E52C05C3A39FE1F504440E5A9E6267E7E52C012CA77CE41504440334263FF7E7E52C05E9C9B4349504440DE9B2D377F7E52C0DFD0942F4B504440E4AD26867F7E52C0ABE4CCE84D50444069F6FD3F807E52C0F69D745154504440F5791F30827E52C026DD20EC6D504440EB7F839E837E52C086F6EC997B5044408F33A527637E52C029201C297C504440420BDE155E7E52C0970542B86F504440AE2412C8667E52C03FBE4CAF245044402ABAA3A5677E52C02BABF47E24504440"
54,"54) Flatbush (West)-Ditmas Park-Parkville (BK) ","1208333.33","0103000020E61000000100000006000000653D81370E7E52C022F9E111FF504440F8B19B66F07D52C0A51153CBF65044400852ED90EA7D52C0DFD1BA5EE450444081A2D7EC027E52C0CDB6EEE49D504440DA2B0F14197E52C0816BD1EFCE504440653D81370E7E52C022F9E111FF504440"
140,"140) Flatbush (West)-Ditmas Park-Parkville (BK) ","1250000.00","0103000020E6100000010000000B000000030F5A0B3C7E52C0376024F10551444036D723593A7E52C01BFC77840751444093D7B2E4377E52C05B4937CD095144405ECCF7AD337E52C017A909AF0D5144405CEBBBD3227E52C0215795B81D514440A8B01731197E52C0A6176ED026514440653D81370E7E52C022F9E111FF504440DA2B0F14197E52C0816BD1EFCE504440A0BEE9C0317E52C0E530208DC8504440A4A586063E7E52C078BC2C1504514440030F5A0B3C7E52C0376024F105514440"
95,"95) Flatbush (West)-Ditmas Park-Parkville (BK) ","1324500.00","0103000020E610000001000000070000009CB3943C497E52C02BA4BC342B5044403FBA8775587E52C085414DCF27504440AE2412C8667E52C03FBE4CAF24504440420BDE155E7E52C0970542B86F50444038047501497E52C0410A7B8965504440237003633F7E52C0B3C0669D2D5044409CB3943C497E52C02BA4BC342B504440"
7,"7) Flatbush (West)-Ditmas Park-Parkville (BK) ","1536250.00","0103000020E61000000100000007000000FEDAA1465A7E52C00D1BA80FB2504440AC5C5D46387E52C0A7629796B15044408F589714337E52C0F24B8E4D8850444038047501497E52C0410A7B8965504440420BDE155E7E52C0970542B86F5044408F33A527637E52C029201C297C504440FEDAA1465A7E52C00D1BA80FB2504440"
37,"37) Flatbush (West)-Ditmas Park-Parkville (BK) ","1550000.00","0103000020E61000000100000008000000C785739CB47D52C03F0D53499B504440DDCAF4E1C37D52C0F1B93F8698504440E2C153DBD17D52C041F816669550444024500BDBD77D52C036D88E91D85044405CE17093C57D52C0EED402DFEF504440EA71A592B07D52C075CC15DCDE50444028AC6B05AD7D52C0452C41F59C504440C785739CB47D52C03F0D53499B504440"
62,"62) Flatbush (West)-Ditmas Park-Parkville (BK) ","1708333.33","0103000020E6100000010000000700000035F011DAB87D52C0BF701ED6885144407EC1679AB47D52C0FEBACABA8151444059BE84FBAF7D52C0E85D1D7F4151444026AE3963C67D52C0FAD9DA282551444081A8FF91E37D52C0D933DE7B41514440DD02624DE27D52C0FF8D528B6151444035F011DAB87D52C0BF701ED688514440"
