CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
272003831,14,MANHATTAN,01/01/2016,20:00:00,,(null),COMPLETED,(null),N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,(null),170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE - APT. HOUSE,07/11/2023,985764,213806,40.7535327012632,-73.9945368920152,"(40.7535327012632, -73.9945368920152)"
274298463,9,MANHATTAN,01/01/2016,00:01:00,12/31/2016,23:59:00,COMPLETED,(null),N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,(null),175,"SEXUAL ABUSE 3,2",(null),09/12/2023,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)"
273744299,32,MANHATTAN,01/01/2016,12:00:00,12/31/2016,23:00:00,COMPLETED,(null),N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,08/31/2023,999433,236538,40.81591307653,-73.9451493066481,"(40.81591307653, -73.9451493066481)"
269741853,32,MANHATTAN,01/01/2016,05:00:00,01/02/2016,00:00:00,COMPLETED,(null),N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,06/12/2023,999433,236538,40.81591307653,-73.9451493066481,"(40.81591307653, -73.9451493066481)"
261492959,18,MANHATTAN,01/08/2016,12:00:00,01/06/2023,15:45:00,COMPLETED,(null),N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),407,"LARCENY,GRAND BY DISHONEST EMP",JEWELRY,01/06/2023,989741,215196,40.757338,-73.98018,"(40.757338, -73.98018)"
270930388,9,MANHATTAN,03/01/2016,00:01:00,03/31/2016,23:59:00,COMPLETED,(null),N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),157,RAPE 1,RESIDENCE - APT. HOUSE,07/06/2023,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)"
274978877,9,MANHATTAN,03/30/2016,18:30:00,03/30/2016,20:00:00,COMPLETED,(null),N.Y. POLICE DEPT,104,FELONY,(null),RAPE,EAST RIVER PARK,157,RAPE 1,PARK/PLAYGROUND,09/26/2023,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)"
267680188,18,MANHATTAN,03/30/2016,21:30:00,03/31/2023,03:00:00,COMPLETED,(null),N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),164,SODOMY 3,HOTEL/MOTEL,05/03/2023,988451,217993,40.7650240788333,-73.9848359497083,"(40.7650240788333, -73.9848359497083)"
271136281,32,MANHATTAN,04/01/2016,18:00:00,10/05/2016,18:00:00,COMPLETED,(null),N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),168,SODOMY 1,RESIDENCE - APT. HOUSE,07/11/2023,999433,236538,40.81591307653,-73.9451493066481,"(40.81591307653, -73.9451493066481)"
271987121,9,MANHATTAN,04/16/2016,00:00:00,01/01/2023,00:01:00,COMPLETED,(null),N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),157,RAPE 1,RESIDENCE - APT. HOUSE,07/27/2023,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)"
